REGION,COMUNA,ZONA,SEXO,EDAD,P52_1,P52_2,P52_3,P52_4,P52_5,P52_6,P52_7,P52_8,GSE,P38,P42
13,123,1,1,19,1,1,2,1,5,3,3,3,4,2,1
13,123,1,1,16,1,4,7,4,7,4,5,3,2,1,1
13,123,1,2,29,1,1,2,2,7,5,5,3,4,2,99
13,129,1,2,24,1,1,3,1,2,1,2,1,3,2,3
13,129,1,1,19,1,1,1,1,1,1,2,1,2,2,3
13,129,1,1,27,1,1,4,1,1,1,1,1,3,2,2
13,129,1,1,16,3,3,3,3,3,3,4,3,3,1,1
13,129,1,1,27,2,4,1,1,4,2,2,2,2,2,1
13,129,1,1,29,1,1,1,1,1,1,1,1,2,2,99
13,107,1,1,18,3,5,4,3,5,5,5,1,2,2,1
13,107,1,1,25,1,1,1,1,5,4,4,6,2,2,2
13,107,1,1,19,4,4,5,5,3,4,5,5,4,2,2
13,107,1,2,22,1,1,4,1,10,6,10,2,4,2,99
13,107,1,1,23,2,2,2,5,4,4,4,7,4,2,3
13,107,1,1,28,2,2,2,2,6,6,5,3,4,2,2
13,115,1,2,23,2,1,2,1,3,1,1,1,3,2,2
13,115,1,1,24,2,3,3,2,6,4,3,1,3,2,99
13,115,1,2,16,2,4,2,1,5,2,3,1,3,1,1
13,115,1,2,16,1,2,1,1,5,5,2,1,5,1,1
13,115,1,1,15,3,7,8,6,6,6,7,3,4,1,1
13,115,1,1,22,2,1,2,1,8,4,3,2,4,2,2
13,115,1,2,22,3,6,3,4,4,5,7,6,4,2,1
13,115,1,1,27,1,2,6,5,10,4,5,5,2,2,2
13,115,1,1,20,2,8,7,5,7,4,5,7,4,2,1
13,115,1,1,16,5,10,8,6,8,4,3,5,3,1,2
13,115,1,2,28,1,2,2,1,3,3,2,1,3,2,1
13,115,1,2,19,2,1,2,1,6,2,3,1,3,2,1
13,115,1,2,21,2,3,4,1,5,4,3,4,3,2,1
13,115,1,2,15,3,4,3,4,6,3,4,2,4,1,1
13,115,1,2,20,2,5,3,99,5,99,10,7,4,2,1
13,115,1,2,29,1,2,3,2,2,2,2,1,3,2,1
13,129,1,1,20,6,6,7,5,3,4,4,8,3,1,2
13,129,1,1,16,2,2,3,5,5,4,4,5,3,1,1
13,129,1,2,15,6,5,6,5,5,6,6,6,3,1,1
13,129,1,1,15,5,5,5,6,6,6,5,5,3,1,1
13,129,1,2,19,4,3,4,7,7,3,6,5,3,2,2
13,129,1,1,21,5,6,6,7,8,7,5,5,3,2,3
13,105,1,1,18,1,1,1,1,1,1,1,1,4,1,99
13,105,1,1,20,1,1,1,1,1,1,1,1,3,2,1
13,105,1,2,18,1,1,1,1,1,1,1,1,3,2,3
13,105,1,2,18,1,1,1,1,5,2,2,1,4,2,1
13,105,1,2,26,1,1,1,1,1,1,1,1,3,2,1
13,105,1,1,19,1,1,1,1,1,1,1,1,3,2,1
13,129,1,1,27,2,3,4,1,5,2,4,1,3,2,1
13,129,1,2,19,3,5,6,2,7,5,5,2,5,2,2
13,129,1,2,24,1,6,10,4,5,5,1,1,3,2,1
13,129,1,1,21,1,3,5,2,8,2,5,1,3,2,3
13,129,1,1,28,4,8,10,3,8,6,7,8,3,2,1
13,129,1,1,21,1,1,1,1,1,1,8,1,2,2,99
13,125,1,2,15,1,1,2,1,5,1,5,5,3,1,2
13,125,1,2,15,2,1,1,1,1,1,4,4,4,1,2
13,125,1,2,16,1,1,3,1,9,1,5,1,4,1,2
13,125,1,1,27,1,1,1,1,1,1,4,1,3,2,1
13,125,1,2,15,1,4,4,5,1,6,6,5,3,1,3
13,125,1,1,25,1,1,1,1,1,1,1,1,3,2,2
5,25,1,1,26,2,2,2,2,2,2,2,6,4,2,3
5,25,1,2,20,1,1,4,1,7,4,7,1,4,2,3
5,25,1,2,27,8,6,10,8,10,8,9,5,3,2,99
5,25,1,1,16,1,1,1,1,1,1,1,1,3,1,3
5,25,1,2,26,1,1,1,1,1,1,1,4,4,2,3
5,25,1,1,21,1,1,1,1,1,1,1,1,3,2,3
5,25,1,2,22,1,1,1,1,7,1,5,5,3,2,1
5,25,1,2,28,2,2,3,1,10,5,5,5,4,2,1
5,25,1,2,18,3,3,4,1,1,1,4,3,3,1,3
5,25,1,2,15,1,1,1,4,1,4,5,6,3,1,2
5,25,1,1,18,4,8,8,3,9,9,7,7,4,1,1
5,25,1,2,26,3,4,6,3,6,3,6,3,4,2,99
13,127,1,1,24,5,5,6,2,7,4,4,4,4,2,99
13,127,1,2,29,1,1,5,1,7,99,4,5,3,2,1
13,127,1,2,18,3,5,5,1,7,4,4,5,4,1,1
13,127,1,2,21,1,1,5,1,5,5,7,1,4,2,1
13,127,1,1,22,1,3,6,1,8,2,5,5,3,2,2
13,127,1,1,22,5,5,5,4,8,5,5,5,3,2,3
13,129,1,2,15,4,4,4,4,6,5,5,4,1,1,1
13,129,1,1,25,1,3,5,1,1,3,4,1,3,2,1
13,129,1,2,21,3,3,5,3,8,4,5,5,4,2,1
13,129,1,1,22,1,2,3,1,6,2,3,10,4,2,1
13,129,1,2,16,2,3,3,3,4,4,3,5,2,1,1
13,129,1,1,27,3,2,6,3,6,4,4,3,3,2,2
10,83,1,2,15,2,2,2,1,6,2,5,1,4,2,99
10,83,1,1,19,1,1,1,1,1,1,1,1,5,2,3
10,83,1,2,25,1,1,4,1,5,1,1,1,4,2,2
10,83,1,1,25,3,4,5,3,10,3,5,5,3,2,99
10,83,1,1,19,99,99,99,99,99,99,99,99,4,2,1
10,83,1,1,29,3,3,3,3,4,4,4,1,3,2,3
10,84,1,2,17,1,1,1,1,5,1,5,6,3,1,3
10,84,1,1,23,2,2,2,2,4,2,5,1,4,2,1
10,84,1,2,24,1,1,1,1,5,7,1,1,3,2,3
10,84,1,1,27,1,1,1,1,10,1,1,10,4,2,99
10,84,1,2,17,3,2,5,5,6,2,3,7,4,2,2
10,84,1,2,22,3,2,4,5,4,4,4,3,4,1,1
10,84,1,2,23,2,2,2,2,6,2,6,3,3,2,99
10,84,1,2,25,3,3,3,3,6,3,4,5,3,1,1
10,84,1,1,19,3,3,2,3,4,3,5,3,3,2,99
10,84,1,1,27,3,3,3,3,7,1,7,1,4,2,3
10,84,1,2,22,2,2,2,2,2,4,2,2,3,2,3
10,84,1,2,26,4,4,4,4,6,4,3,4,2,2,1
10,84,1,1,22,1,1,1,1,5,1,1,10,4,1,3
10,84,1,1,26,1,1,1,1,2,1,3,3,3,2,1
10,84,1,1,15,6,6,6,6,6,6,8,6,1,1,1
10,84,1,2,18,1,1,1,1,10,1,8,5,5,2,1
10,84,1,2,23,1,4,4,5,8,1,2,1,2,2,1
10,84,1,1,26,4,4,5,4,5,6,5,5,2,2,1
10,84,1,2,15,2,4,4,2,6,2,6,3,3,1,1
10,84,1,2,18,2,4,4,2,4,2,2,4,2,1,1
10,84,1,2,15,3,4,4,3,5,3,5,5,5,1,3
10,84,1,2,22,3,5,5,2,6,1,6,5,4,2,1
10,84,1,1,15,2,4,4,2,6,1,5,5,5,1,3
10,84,1,2,26,3,4,4,3,6,3,6,4,3,1,3
10,84,1,1,17,4,5,5,4,10,5,6,4,3,1,3
10,84,1,2,23,5,5,5,5,5,5,5,5,2,2,1
10,84,1,1,20,3,4,4,3,5,3,5,4,2,2,3
10,84,1,2,15,1,4,4,2,5,2,5,4,2,1,3
10,84,1,1,22,4,5,4,2,5,2,5,3,3,2,1
10,84,1,1,21,4,5,4,4,5,4,5,4,1,2,1
10,83,1,1,20,4,4,4,4,4,8,7,4,4,1,3
10,83,1,2,16,2,2,2,2,3,4,3,4,4,1,1
10,83,1,1,17,5,5,3,3,3,3,2,2,4,1,1
10,83,1,1,18,3,3,3,3,3,8,3,4,5,1,1
10,83,1,2,19,1,1,1,1,4,1,4,4,3,2,1
10,83,1,1,18,1,1,1,1,1,1,1,1,5,2,3
10,83,1,2,27,3,3,3,3,4,5,5,3,3,2,1
10,83,1,1,20,3,1,1,1,1,1,3,2,3,2,2
10,83,1,1,20,1,1,1,1,7,1,5,1,4,2,99
10,84,1,2,22,6,6,6,7,6,6,5,6,5,2,1
10,84,1,2,21,1,1,1,1,2,2,2,6,4,2,1
10,84,1,2,16,2,2,2,2,4,5,1,6,4,1,1
10,84,1,2,24,2,3,3,3,5,7,5,9,4,2,3
10,84,1,1,24,1,1,1,1,6,4,4,7,3,2,1
10,84,1,2,23,2,2,2,2,7,4,6,4,4,2,1
10,84,1,2,28,5,5,5,5,7,5,5,6,1,2,2
10,84,1,2,24,3,3,99,1,5,3,4,3,2,2,1
10,84,1,2,16,99,99,99,99,4,99,99,99,2,1,99
10,84,1,1,16,3,3,2,3,5,4,3,3,4,1,3
10,84,1,1,25,5,5,4,4,5,5,3,3,3,2,99
10,84,1,2,21,1,1,2,1,8,1,5,5,4,2,1
14,136,1,2,18,5,5,5,4,5,5,8,4,5,1,2
14,136,1,1,22,1,1,1,1,9,1,1,10,5,2,99
14,136,1,1,25,1,1,3,2,5,4,5,1,2,2,3
14,136,1,2,18,4,5,5,4,7,4,5,2,5,2,1
14,136,1,1,16,6,7,7,7,9,9,9,6,4,1,1
14,136,1,1,21,1,1,1,1,10,1,1,1,4,2,1
13,122,1,1,27,1,1,1,1,1,1,1,1,3,2,3
13,122,1,1,26,1,1,6,1,4,1,1,1,2,2,3
13,122,1,1,22,1,1,1,1,2,2,2,1,3,2,1
13,122,1,2,27,5,3,3,3,1,2,4,2,4,2,1
13,122,1,2,28,4,6,5,4,5,4,4,4,2,2,1
13,122,1,1,29,1,1,3,1,3,3,1,1,4,2,2
14,136,1,1,28,2,2,2,2,5,2,2,1,2,2,2
14,136,1,2,18,1,1,3,2,5,5,4,1,4,1,1
14,136,1,2,18,1,2,2,1,5,6,1,7,3,1,1
14,136,1,2,29,1,2,2,1,7,1,1,1,4,2,2
14,136,1,1,20,1,1,1,1,3,1,1,1,5,2,1
14,136,1,1,20,2,2,2,1,5,4,4,7,4,1,1
14,136,1,2,23,1,1,1,1,7,5,9,1,3,2,3
14,136,1,1,28,1,1,1,1,1,1,3,1,3,2,1
14,136,1,1,26,1,1,6,5,4,6,4,1,3,2,1
14,136,1,1,17,1,1,1,1,4,1,7,1,3,1,1
13,128,1,2,25,2,4,1,2,5,5,6,8,4,2,3
13,105,1,1,19,1,5,5,6,6,5,5,1,4,2,1
13,105,1,1,20,5,5,8,8,7,6,1,1,4,2,1
13,105,1,1,16,1,5,7,8,8,5,5,7,1,1,1
13,105,1,2,17,7,7,8,8,9,8,7,3,1,1,3
13,105,1,2,20,2,3,3,2,3,3,4,5,4,2,3
13,105,1,1,17,3,4,3,2,4,5,2,1,3,1,1
13,105,1,2,23,1,3,5,4,4,4,4,2,4,2,3
13,106,1,1,16,5,6,7,5,10,5,7,5,4,1,1
13,106,1,1,26,2,2,6,2,7,5,5,7,4,2,2
13,106,1,1,15,1,1,1,1,5,1,6,8,3,1,99
13,106,1,1,25,1,1,1,1,4,1,1,1,3,2,2
13,106,1,1,23,1,1,1,1,1,1,1,1,4,2,1
13,106,1,1,21,1,1,4,4,7,1,9,9,4,2,2
13,106,1,2,22,4,4,5,4,5,1,4,1,4,2,3
13,106,1,1,19,5,3,5,3,6,2,8,9,4,2,1
13,106,1,1,21,1,3,3,1,4,3,5,1,4,2,3
13,106,1,1,23,3,4,6,4,6,4,4,4,4,2,1
13,106,1,1,18,3,4,4,3,8,6,9,2,4,1,1
13,106,1,1,16,10,10,2,10,10,10,10,10,3,1,3
13,106,1,2,25,1,1,1,1,1,1,1,1,3,2,3
13,106,1,1,26,1,1,5,1,10,10,10,1,3,2,3
13,106,1,1,16,4,3,4,3,1,1,5,5,4,1,3
13,115,1,1,29,5,8,6,4,6,5,4,3,3,2,1
13,115,1,1,27,3,6,5,4,7,4,5,3,5,2,1
13,115,1,2,21,2,5,4,3,7,5,5,3,4,2,1
13,115,1,2,16,2,4,4,1,2,5,3,2,4,1,1
13,115,1,1,18,4,5,5,3,3,99,4,9,4,2,1
13,115,1,1,20,3,5,5,3,8,5,6,3,4,2,1
13,115,1,2,25,3,4,4,2,6,5,7,4,4,2,1
13,115,1,1,28,4,3,4,3,6,4,2,3,4,2,1
13,113,1,2,15,3,3,5,2,5,5,7,7,3,1,3
13,113,1,1,27,3,3,4,3,6,5,6,5,4,2,1
13,113,1,2,16,3,3,3,3,3,2,3,3,4,2,2
13,113,1,1,24,1,1,1,1,1,1,1,1,2,2,1
13,120,1,1,15,2,3,2,2,5,1,3,1,4,1,1
13,120,1,1,15,4,5,4,2,7,1,4,1,3,1,99
13,120,1,2,24,3,4,2,1,3,2,2,1,4,2,99
13,129,1,2,29,1,99,99,99,8,99,99,99,4,2,99
13,129,1,1,26,1,1,5,1,10,1,1,1,3,2,1
13,129,1,1,19,1,1,1,1,1,10,5,5,3,2,99
13,129,1,2,22,1,1,1,1,1,1,1,1,4,1,3
13,129,1,1,23,1,1,1,1,4,1,1,1,2,2,3
13,105,1,2,20,2,2,2,1,4,4,4,1,4,2,2
13,105,1,2,17,1,1,1,1,6,2,4,4,4,1,1
13,105,1,1,21,3,3,5,3,5,6,4,1,3,2,1
13,105,1,1,18,6,6,5,3,4,6,5,3,4,2,1
13,105,1,1,21,2,3,3,3,5,3,6,4,4,1,1
13,109,1,2,16,5,7,7,5,8,6,8,8,3,1,1
13,109,1,1,18,1,1,1,1,3,5,5,6,3,2,1
13,109,1,2,21,1,1,1,1,5,1,1,1,3,2,3
13,109,1,1,20,5,7,4,3,8,8,2,3,3,1,1
13,122,1,1,23,2,4,2,4,8,4,4,4,3,2,1
13,122,1,1,23,2,5,6,2,3,6,6,1,5,1,99
13,122,1,2,19,1,1,1,1,1,1,1,1,4,2,2
13,122,1,2,18,1,1,1,1,1,1,1,1,3,2,1
13,122,1,2,17,2,4,2,2,1,2,3,3,3,1,1
13,122,1,1,25,1,1,1,1,1,1,1,1,4,2,1
13,122,1,1,27,1,5,5,1,8,2,3,1,3,2,1
13,122,1,1,22,1,1,1,1,1,1,1,1,3,2,2
13,122,1,1,28,2,2,2,2,2,2,2,2,4,2,1
13,122,1,1,21,1,1,1,1,1,1,1,1,4,2,1
13,122,1,1,22,3,2,5,1,7,5,5,5,3,2,1
13,122,1,2,28,2,3,5,1,7,5,5,1,3,2,1
13,122,1,2,26,2,2,2,2,3,2,2,2,2,2,1
13,122,1,2,21,1,1,1,1,6,1,1,1,2,2,1
13,122,1,1,25,4,4,4,4,8,3,4,2,3,2,1
13,122,1,1,18,5,5,5,5,8,8,7,8,3,1,1
13,122,1,1,18,3,3,3,1,5,1,3,3,4,1,1
13,122,1,2,26,1,3,3,3,5,3,4,5,4,2,1
15,139,1,1,23,4,4,4,4,7,6,5,4,4,2,1
15,139,1,1,21,5,6,4,5,8,5,8,5,4,2,99
15,139,1,1,20,2,2,4,2,4,4,4,5,4,2,2
15,139,1,1,15,1,6,1,1,8,1,5,7,4,1,1
15,139,1,2,22,2,4,5,5,5,5,5,8,4,2,3
15,139,1,1,18,5,7,6,7,7,5,6,5,4,1,3
15,139,1,1,16,1,5,5,5,10,5,10,10,4,1,1
15,139,1,2,17,5,3,5,2,8,8,8,5,4,1,1
15,139,1,2,18,1,5,5,8,8,9,9,9,3,1,1
15,139,1,2,24,5,2,5,2,7,5,7,7,4,2,2
15,139,1,2,29,1,1,3,1,5,1,5,3,4,2,2
